ExpKey,ExpId,YearsAtCompany,YearsOfExperience,Education
1,Master'sDegree22,2,2,Master's Degree
2,PhD35,3,5,PhD
3,PhD08,0,8,PhD
4,Master'sDegree57,5,7,Master's Degree
5,Master'sDegree35,3,5,Master's Degree
6,Highschool88,8,8,Highschool
7,SomeCollege1115,11,15,Some College
8,SomeCollege44,4,4,Some College
9,PhD13,1,3,PhD
10,Highschool612,6,12,Highschool
11,Master'sDegree316,3,16,Master's Degree
12,Highschool35,3,5,Highschool
13,SomeCollege1010,10,10,Some College
14,Bachelor'sDegree77,7,7,Bachelor's Degree
15,Bachelor'sDegree112,1,12,Bachelor's Degree
16,Highschool010,0,10,Highschool
17,PhD11,1,1,PhD
18,Bachelor'sDegree19,1,9,Bachelor's Degree
19,Highschool22,2,2,Highschool
20,Master'sDegree99,9,9,Master's Degree
21,Bachelor'sDegree78,7,8,Bachelor's Degree
22,Highschool1515,15,15,Highschool
23,Bachelor'sDegree1212,12,12,Bachelor's Degree
24,Highschool1212,12,12,Highschool
25,SomeCollege617,6,17,Some College
26,Master'sDegree114,1,14,Master's Degree
27,Bachelor'sDegree23,2,3,Bachelor's Degree
28,Master'sDegree66,6,6,Master's Degree
29,Bachelor'sDegree48,4,8,Bachelor's Degree
30,PhD1214,12,14,PhD
31,PhD712,7,12,PhD
32,Highschool24,2,4,Highschool
33,SomeCollege25,2,5,Some College
34,SomeCollege29,2,9,Some College
35,PhD27,2,7,PhD
36,SomeCollege18,1,8,Some College
37,Master'sDegree07,0,7,Master's Degree
38,Master'sDegree18,1,8,Master's Degree
39,PhD920,9,20,PhD
40,Bachelor'sDegree1728,17,28,Bachelor's Degree
41,SomeCollege112,1,12,Some College
42,PhD213,2,13,PhD
43,PhD312,3,12,PhD
44,Master'sDegree15,1,5,Master's Degree
45,PhD15,1,5,PhD
46,PhD14,1,4,PhD
47,Highschool110,1,10,Highschool
48,Bachelor'sDegree11,1,1,Bachelor's Degree
49,Highschool319,3,19,Highschool
50,Bachelor'sDegree33,3,3,Bachelor's Degree
51,PhD29,2,9,PhD
52,Highschool25,2,5,Highschool
53,Bachelor'sDegree26,2,6,Bachelor's Degree
54,Highschool00,0,0,Highschool
55,Highschool33,3,3,Highschool
56,Bachelor'sDegree46,4,6,Bachelor's Degree
57,Bachelor'sDegree44,4,4,Bachelor's Degree
58,PhD22,2,2,PhD
59,SomeCollege11,1,1,Some College
60,SomeCollege19,1,9,Some College
61,PhD611,6,11,PhD
62,PhD914,9,14,PhD
63,Bachelor'sDegree25,2,5,Bachelor's Degree
64,SomeCollege55,5,5,Some College
65,Master'sDegree55,5,5,Master's Degree
66,PhD615,6,15,PhD
67,Bachelor'sDegree414,4,14,Bachelor's Degree
68,PhD310,3,10,PhD
69,Highschool310,3,10,Highschool
70,PhD28,2,8,PhD
71,Master'sDegree58,5,8,Master's Degree
72,Master'sDegree714,7,14,Master's Degree
73,Master'sDegree213,2,13,Master's Degree
74,Master'sDegree05,0,5,Master's Degree
75,Highschool1323,13,23,Highschool
76,Bachelor'sDegree17,1,7,Bachelor's Degree
77,SomeCollege58,5,8,Some College
78,Master'sDegree110,1,10,Master's Degree
79,Bachelor'sDegree56,5,6,Bachelor's Degree
80,Master'sDegree19,1,9,Master's Degree
81,Master'sDegree00,0,0,Master's Degree
82,Bachelor'sDegree412,4,12,Bachelor's Degree
83,SomeCollege914,9,14,Some College
84,Master'sDegree04,0,4,Master's Degree
85,Bachelor'sDegree010,0,10,Bachelor's Degree
86,Highschool67,6,7,Highschool
87,Bachelor'sDegree24,2,4,Bachelor's Degree
88,Highschool311,3,11,Highschool
89,SomeCollege00,0,0,Some College
90,PhD17,1,7,PhD
91,Highschool11,1,1,Highschool
92,Master'sDegree11,1,1,Master's Degree
93,Bachelor'sDegree16,1,6,Bachelor's Degree
94,Bachelor'sDegree45,4,5,Bachelor's Degree
95,SomeCollege410,4,10,Some College
96,Bachelor'sDegree15,1,5,Bachelor's Degree
97,Highschool610,6,10,Highschool
98,Bachelor'sDegree13,1,3,Bachelor's Degree
99,SomeCollege14,1,4,Some College
100,Master'sDegree88,8,8,Master's Degree
101,SomeCollege110,1,10,Some College
102,Bachelor'sDegree01,0,1,Bachelor's Degree
103,Master'sDegree310,3,10,Master's Degree
104,Bachelor'sDegree1010,10,10,Bachelor's Degree
105,PhD09,0,9,PhD
106,Highschool215,2,15,Highschool
107,SomeCollege610,6,10,Some College
108,Master'sDegree412,4,12,Master's Degree
109,Bachelor'sDegree510,5,10,Bachelor's Degree
110,Bachelor'sDegree00,0,0,Bachelor's Degree
111,PhD511,5,11,PhD
112,Bachelor'sDegree22,2,2,Bachelor's Degree
113,Bachelor'sDegree34,3,4,Bachelor's Degree
114,Highschool01,0,1,Highschool
115,Master'sDegree1922,19,22,Master's Degree
116,Highschool120,1,20,Highschool
117,Highschool77,7,7,Highschool
118,Highschool316,3,16,Highschool
119,Bachelor'sDegree418,4,18,Bachelor's Degree
120,Master'sDegree25,2,5,Master's Degree
121,PhD36,3,6,PhD
122,Master'sDegree33,3,3,Master's Degree
123,PhD23,2,3,PhD
124,PhD00,0,0,PhD
125,SomeCollege22,2,2,Some College
126,Master'sDegree14,1,4,Master's Degree
127,Bachelor'sDegree314,3,14,Bachelor's Degree
128,Master'sDegree710,7,10,Master's Degree
129,Highschool37,3,7,Highschool
130,Bachelor'sDegree55,5,5,Bachelor's Degree
131,PhD313,3,13,PhD
132,PhD610,6,10,PhD
133,SomeCollege33,3,3,Some College
134,Highschool520,5,20,Highschool
135,Highschool44,4,4,Highschool
136,Bachelor'sDegree212,2,12,Bachelor's Degree
137,Bachelor'sDegree28,2,8,Bachelor's Degree
138,SomeCollege615,6,15,Some College
139,Master'sDegree46,4,6,Master's Degree
140,Highschool210,2,10,Highschool
141,Highschool48,4,8,Highschool
142,PhD510,5,10,PhD
143,PhD58,5,8,PhD
144,Highschool99,9,9,Highschool
145,PhD010,0,10,PhD
146,Master'sDegree03,0,3,Master's Degree
147,PhD38,3,8,PhD
148,Bachelor'sDegree621,6,21,Bachelor's Degree
149,SomeCollege613,6,13,Some College
150,SomeCollege13,1,3,Some College
151,SomeCollege325,3,25,Some College
152,SomeCollege03,0,3,Some College
153,Master'sDegree16,1,6,Master's Degree
154,PhD33,3,3,PhD
155,Master'sDegree214,2,14,Master's Degree
156,Bachelor'sDegree29,2,9,Bachelor's Degree
157,Master'sDegree215,2,15,Master's Degree
158,PhD311,3,11,PhD
159,Highschool1315,13,15,Highschool
160,PhD25,2,5,PhD
161,SomeCollege415,4,15,Some College
162,PhD44,4,4,PhD
163,SomeCollege48,4,8,Some College
164,Master'sDegree28,2,8,Master's Degree
165,Bachelor'sDegree114,1,14,Bachelor's Degree
166,Highschool510,5,10,Highschool
