JobKey,JobId,JobTitle,JobLevel,JobTag
1,ProductManagerL3,Product Manager,L3,None
2,SoftwareEngineerSE2,Software Engineer,SE 2,None
3,ProductManagerL7,Product Manager,L7,None
4,SoftwareEngineeringManagerM1,Software Engineering Manager,M1,None
5,SoftwareEngineer60,Software Engineer,60,None
6,SoftwareEngineer63,Software Engineer,63,None
7,SoftwareEngineeringManager65,Software Engineering Manager,65,None
8,SoftwareEngineer62,Software Engineer,62,None
9,SoftwareEngineer59,Software Engineer,59,None
10,SoftwareEngineeringManager9,Software Engineering Manager,9,None
11,SoftwareEngineerSde2,Software Engineer,Sde 2,None
12,ProductManager63,Product Manager,63,None
13,SoftwareEngineeringManagerL6,Software Engineering Manager,L6,None
14,SoftwareEngineerL5,Software Engineer,L5,None
15,SoftwareEngineerE3,Software Engineer,E3,None
16,SoftwareEngineer5a,Software Engineer,5a,None
17,SoftwareEngineerL4,Software Engineer,L4,None
18,SoftwareEngineer64,Software Engineer,64,None
19,SoftwareEngineerIC4,Software Engineer,IC4,None
20,SoftwareEngineeringManager67,Software Engineering Manager,67,None
21,SoftwareEngineerL6,Software Engineer,L6,None
22,SoftwareEngineerL7,Software Engineer,L7,None
23,SoftwareEngineeringManager64,Software Engineering Manager,64,None
24,ProductManager65,Product Manager,65,None
25,SoftwareEngineerIct3,Software Engineer,Ict3,None
26,SoftwareEngineerT6,Software Engineer,T6,None
27,SoftwareEngineeringManagerL5,Software Engineering Manager,L5,None
28,SoftwareEngineerSeniorSoftwareEngineer,Software Engineer,Senior Software Engineer,None
29,SoftwareEngineerICT2,Software Engineer,ICT2,None
30,SoftwareEngineer65,Software Engineer,65,None
31,SoftwareEngineerICT3,Software Engineer,ICT3,None
32,ProductManagerSenior,Product Manager,Senior,None
33,ProductManager66,Product Manager,66,None
34,SoftwareEngineer69,Software Engineer,69,None
35,SoftwareEngineerSeniorSoftwareEngineer2(5b),Software Engineer,Senior Software Engineer 2 (5b),None
36,SoftwareEngineerSeniorMemberofTechnicalStaff,Software Engineer,Senior Member of Technical Staff,None
37,SoftwareEngineerIC2,Software Engineer,IC2,None
38,SoftwareEngineerLeadMTS,Software Engineer,Lead MTS,None
39,SoftwareEngineerE4,Software Engineer,E4,None
40,ProductManagerL6,Product Manager,L6,None
41,SoftwareEngineerSoftwareEngineer,Software Engineer,Software Engineer,None
42,ProductManager5,Product Manager,5,None
43,SoftwareEngineer5,Software Engineer,5,None
44,SoftwareEngineerSenior,Software Engineer,Senior,None
45,SoftwareEngineerSDE3,Software Engineer,SDE 3,None
46,ProductManagerDirector,Product Manager,Director,None
47,SoftwareEngineerStaff,Software Engineer,Staff,None
48,SoftwareEngineerICT5,Software Engineer,ICT5,None
49,SoftwareEngineerICT-5,Software Engineer,ICT - 5,None
50,ProductManagerL8,Product Manager,L8,None
51,SoftwareEngineerSeniorPrincipal,Software Engineer,Senior Principal,None
52,ProductManagerICT4,Product Manager,ICT4,None
53,SoftwareEngineerE6,Software Engineer,E6,None
54,SoftwareEngineerSeniorSoftwareEngineerI,Software Engineer,Senior Software Engineer I,None
55,SoftwareEngineerE5,Software Engineer,E5,None
56,SoftwareEngineeringManagerG6,Software Engineering Manager,G6,None
57,SoftwareEngineer61,Software Engineer,61,None
58,ProductManagerL4,Product Manager,L4,None
59,SoftwareEngineerT3,Software Engineer,T3,None
60,SoftwareEngineerT5,Software Engineer,T5,None
61,SoftwareEngineerL2,Software Engineer,L2,None
62,ProductManagerProductManager,Product Manager,Product Manager,None
63,SoftwareEngineerSoftwareEngineer3,Software Engineer,Software Engineer 3,None
64,SoftwareEngineerNewGrad,Software Engineer,New Grad,None
