DemographicKey,DemographicId,Gender,GenderAbbr,Race
1,WHITEMALE,Male,M,White
2,WHITEFEMALE,Female,F,White
3,WHITEOTHER,Other,O,White
4,ASIANFEMALE,Female,F,Asian
5,BLACKMALE,Male,M,Black
6,ASIANMALE,Male,M,Asian
7,TWOORMOREMALE,Male,M,Two Or More
8,HISPANICMALE,Male,M,Hispanic
9,HISPANICFEMALE,Female,F,Hispanic
10,HISPANICOTHER,Other,O,Hispanic
11,TWOORMOREFEMALE,Female,F,Two Or More
12,BLACKFEMALE,Female,F,Black
13,ASIANOTHER,Other,O,Asian
14,BLACKOTHER,Other,O,Black
15,TWOORMOREOTHER,Other,O,Two Or More
