ExpKey,ExpId,YearsAtCompany,YearsOfExperience,Education
1,NA22,2,2,
2,NA35,3,5,
3,NA08,0,8,
4,NA57,5,7,
5,NA88,8,8,
6,NA1115,11,15,
7,NA44,4,4,
8,NA13,1,3,
9,NA612,6,12,
10,NA316,3,16,
11,NA1010,10,10,
12,NA77,7,7,
13,NA112,1,12,
14,NA010,0,10,
15,NA11,1,1,
16,NA19,1,9,
17,NA99,9,9,
18,NA78,7,8,
19,NA1515,15,15,
20,NA1212,12,12,
21,NA617,6,17,
22,NA114,1,14,
23,NA23,2,3,
24,NA66,6,6,
25,NA48,4,8,
26,NA1214,12,14,
27,NA712,7,12,
28,NA24,2,4,
29,NA25,2,5,
30,NA29,2,9,
31,NA27,2,7,
32,NA18,1,8,
33,NA07,0,7,
34,NA920,9,20,
35,NA1728,17,28,
36,NA213,2,13,
37,NA312,3,12,
38,NA15,1,5,
39,PHD14,1,4,PhD
40,NA110,1,10,
41,NA319,3,19,
42,NA33,3,3,
43,NA26,2,6,
44,NA00,0,0,
45,NA46,4,6,
46,NA611,6,11,
47,NA914,9,14,
48,NA55,5,5,
49,NA615,6,15,
50,NA414,4,14,
51,NA310,3,10,
52,NA28,2,8,
53,NA58,5,8,
54,NA714,7,14,
55,NA05,0,5,
56,NA1323,13,23,
57,NA17,1,7,
58,NA56,5,6,
59,NA412,4,12,
60,NA04,0,4,
61,NA67,6,7,
62,NA311,3,11,
63,NA16,1,6,
64,NA45,4,5,
65,NA410,4,10,
66,NA610,6,10,
67,NA14,1,4,
68,NA01,0,1,
69,NA09,0,9,
70,NA215,2,15,
71,NA510,5,10,
72,NA511,5,11,
73,NA34,3,4,
74,NA1922,19,22,
75,NA120,1,20,
76,NA418,4,18,
77,NA36,3,6,
78,NA314,3,14,
79,NA710,7,10,
80,NA37,3,7,
81,NA313,3,13,
82,NA520,5,20,
83,NA212,2,12,
84,NA210,2,10,
85,NA03,0,3,
86,NA38,3,8,
87,NA621,6,21,
88,NA613,6,13,
89,NA325,3,25,
90,NA214,2,14,
91,NA1315,13,15,
92,NA415,4,15,
93,NA59,5,9,
94,NA020,0,20,
95,NA715,7,15,
96,NA1120,11,20,
97,NA917,9,17,
98,NA119,1,19,
