TimeKey,CalendarDateChar,CalendarDate,Year,Month,MonthName,Day,DayName,DayOfYear
1,2017-06-07,2017-06-07,2017,6,June,7,Wednesday,158
2,2017-06-10,2017-06-10,2017,6,June,10,Saturday,161
3,2017-06-11,2017-06-11,2017,6,June,11,Sunday,162
4,2017-06-17,2017-06-17,2017,6,June,17,Saturday,168
5,2017-06-20,2017-06-20,2017,6,June,20,Tuesday,171
6,2017-06-21,2017-06-21,2017,6,June,21,Wednesday,172
7,2017-06-22,2017-06-22,2017,6,June,22,Thursday,173
8,2017-06-26,2017-06-26,2017,6,June,26,Monday,177
9,2017-06-30,2017-06-30,2017,6,June,30,Friday,181
10,2017-07-02,2017-07-02,2017,7,July,2,Sunday,183
11,2017-07-03,2017-07-03,2017,7,July,3,Monday,184
12,2017-07-07,2017-07-07,2017,7,July,7,Friday,188
13,2017-07-14,2017-07-14,2017,7,July,14,Friday,195
14,2017-07-16,2017-07-16,2017,7,July,16,Sunday,197
15,2017-07-20,2017-07-20,2017,7,July,20,Thursday,201
16,2017-07-22,2017-07-22,2017,7,July,22,Saturday,203
17,2017-07-24,2017-07-24,2017,7,July,24,Monday,205
18,2017-07-25,2017-07-25,2017,7,July,25,Tuesday,206
19,2017-07-29,2017-07-29,2017,7,July,29,Saturday,210
20,2017-07-31,2017-07-31,2017,7,July,31,Monday,212
21,2017-08-01,2017-08-01,2017,8,August,1,Tuesday,213
22,2017-08-04,2017-08-04,2017,8,August,4,Friday,216
23,2017-08-06,2017-08-06,2017,8,August,6,Sunday,218
24,2017-08-07,2017-08-07,2017,8,August,7,Monday,219
25,2017-08-08,2017-08-08,2017,8,August,8,Tuesday,220
26,2017-08-10,2017-08-10,2017,8,August,10,Thursday,222
27,2017-08-13,2017-08-13,2017,8,August,13,Sunday,225
28,2017-08-16,2017-08-16,2017,8,August,16,Wednesday,228
29,2017-08-17,2017-08-17,2017,8,August,17,Thursday,229
30,2017-08-18,2017-08-18,2017,8,August,18,Friday,230
31,2017-08-20,2017-08-20,2017,8,August,20,Sunday,232
32,2017-08-22,2017-08-22,2017,8,August,22,Tuesday,234
33,2017-08-23,2017-08-23,2017,8,August,23,Wednesday,235
34,2017-08-24,2017-08-24,2017,8,August,24,Thursday,236
35,2017-08-29,2017-08-29,2017,8,August,29,Tuesday,241
36,2017-08-31,2017-08-31,2017,8,August,31,Thursday,243
37,2017-09-01,2017-09-01,2017,9,September,1,Friday,244
38,2017-09-04,2017-09-04,2017,9,September,4,Monday,247
39,2017-09-06,2017-09-06,2017,9,September,6,Wednesday,249
40,2017-09-07,2017-09-07,2017,9,September,7,Thursday,250
41,2017-09-08,2017-09-08,2017,9,September,8,Friday,251
42,2017-09-09,2017-09-09,2017,9,September,9,Saturday,252
43,2017-09-10,2017-09-10,2017,9,September,10,Sunday,253
44,2017-09-11,2017-09-11,2017,9,September,11,Monday,254
45,2017-09-12,2017-09-12,2017,9,September,12,Tuesday,255
46,2017-09-26,2017-09-26,2017,9,September,26,Tuesday,269
47,2017-09-28,2017-09-28,2017,9,September,28,Thursday,271
48,2017-10-02,2017-10-02,2017,10,October,2,Monday,275
49,2017-10-03,2017-10-03,2017,10,October,3,Tuesday,276
50,2017-10-06,2017-10-06,2017,10,October,6,Friday,279
51,2017-10-08,2017-10-08,2017,10,October,8,Sunday,281
52,2017-10-11,2017-10-11,2017,10,October,11,Wednesday,284
53,2017-10-15,2017-10-15,2017,10,October,15,Sunday,288
54,2017-10-19,2017-10-19,2017,10,October,19,Thursday,292
55,2017-10-20,2017-10-20,2017,10,October,20,Friday,293
56,2017-10-22,2017-10-22,2017,10,October,22,Sunday,295
57,2017-10-25,2017-10-25,2017,10,October,25,Wednesday,298
58,2017-10-29,2017-10-29,2017,10,October,29,Sunday,302
59,2017-10-31,2017-10-31,2017,10,October,31,Tuesday,304
60,2017-11-03,2017-11-03,2017,11,November,3,Friday,307
61,2017-11-05,2017-11-05,2017,11,November,5,Sunday,309
62,2017-11-09,2017-11-09,2017,11,November,9,Thursday,313
63,2017-11-14,2017-11-14,2017,11,November,14,Tuesday,318
64,2017-11-15,2017-11-15,2017,11,November,15,Wednesday,319
65,2017-11-16,2017-11-16,2017,11,November,16,Thursday,320
66,2017-11-18,2017-11-18,2017,11,November,18,Saturday,322
67,2017-11-20,2017-11-20,2017,11,November,20,Monday,324
68,2017-11-24,2017-11-24,2017,11,November,24,Friday,328
69,2017-11-26,2017-11-26,2017,11,November,26,Sunday,330
70,2017-11-29,2017-11-29,2017,11,November,29,Wednesday,333
71,2017-11-30,2017-11-30,2017,11,November,30,Thursday,334
72,2017-12-03,2017-12-03,2017,12,December,3,Sunday,337
73,2017-12-05,2017-12-05,2017,12,December,5,Tuesday,339
74,2017-12-06,2017-12-06,2017,12,December,6,Wednesday,340
75,2017-12-07,2017-12-07,2017,12,December,7,Thursday,341
76,2017-12-14,2017-12-14,2017,12,December,14,Thursday,348
77,2017-12-15,2017-12-15,2017,12,December,15,Friday,349
78,2017-12-18,2017-12-18,2017,12,December,18,Monday,352
79,2017-12-22,2017-12-22,2017,12,December,22,Friday,356
80,2017-12-23,2017-12-23,2017,12,December,23,Saturday,357
81,2017-12-27,2017-12-27,2017,12,December,27,Wednesday,361
82,2017-12-28,2017-12-28,2017,12,December,28,Thursday,362
83,2017-12-29,2017-12-29,2017,12,December,29,Friday,363
84,2018-01-02,2018-01-02,2018,1,January,2,Tuesday,2
85,2018-01-03,2018-01-03,2018,1,January,3,Wednesday,3
86,2018-01-04,2018-01-04,2018,1,January,4,Thursday,4
87,2018-01-05,2018-01-05,2018,1,January,5,Friday,5
88,2018-01-09,2018-01-09,2018,1,January,9,Tuesday,9
89,2018-01-11,2018-01-11,2018,1,January,11,Thursday,11
90,2018-01-12,2018-01-12,2018,1,January,12,Friday,12
91,2018-01-13,2018-01-13,2018,1,January,13,Saturday,13
92,2018-01-17,2018-01-17,2018,1,January,17,Wednesday,17
93,2018-01-18,2018-01-18,2018,1,January,18,Thursday,18
94,2018-01-20,2018-01-20,2018,1,January,20,Saturday,20
95,2018-01-23,2018-01-23,2018,1,January,23,Tuesday,23
96,2018-01-24,2018-01-24,2018,1,January,24,Wednesday,24
97,2018-01-27,2018-01-27,2018,1,January,27,Saturday,27
98,2018-01-28,2018-01-28,2018,1,January,28,Sunday,28
99,2018-01-31,2018-01-31,2018,1,January,31,Wednesday,31
100,2018-02-01,2018-02-01,2018,2,February,1,Thursday,32
101,2018-02-02,2018-02-02,2018,2,February,2,Friday,33
102,2018-02-03,2018-02-03,2018,2,February,3,Saturday,34
103,2018-02-04,2018-02-04,2018,2,February,4,Sunday,35
104,2018-02-06,2018-02-06,2018,2,February,6,Tuesday,37
105,2018-02-07,2018-02-07,2018,2,February,7,Wednesday,38
106,2018-02-08,2018-02-08,2018,2,February,8,Thursday,39
107,2018-02-09,2018-02-09,2018,2,February,9,Friday,40
108,2018-02-10,2018-02-10,2018,2,February,10,Saturday,41
109,2018-02-12,2018-02-12,2018,2,February,12,Monday,43
110,2018-02-13,2018-02-13,2018,2,February,13,Tuesday,44
111,2018-02-14,2018-02-14,2018,2,February,14,Wednesday,45
112,2018-02-15,2018-02-15,2018,2,February,15,Thursday,46
113,2018-02-16,2018-02-16,2018,2,February,16,Friday,47
114,2018-02-18,2018-02-18,2018,2,February,18,Sunday,49
115,2018-02-19,2018-02-19,2018,2,February,19,Monday,50
116,2018-02-20,2018-02-20,2018,2,February,20,Tuesday,51
117,2018-02-23,2018-02-23,2018,2,February,23,Friday,54
118,2018-02-25,2018-02-25,2018,2,February,25,Sunday,56
119,2018-02-26,2018-02-26,2018,2,February,26,Monday,57
120,2018-02-27,2018-02-27,2018,2,February,27,Tuesday,58
121,2018-02-28,2018-02-28,2018,2,February,28,Wednesday,59
122,2018-03-01,2018-03-01,2018,3,March,1,Thursday,60
123,2018-03-02,2018-03-02,2018,3,March,2,Friday,61
124,2018-03-03,2018-03-03,2018,3,March,3,Saturday,62
125,2018-03-05,2018-03-05,2018,3,March,5,Monday,64
126,2018-03-06,2018-03-06,2018,3,March,6,Tuesday,65
127,2018-03-07,2018-03-07,2018,3,March,7,Wednesday,66
128,2018-03-08,2018-03-08,2018,3,March,8,Thursday,67
129,2018-03-09,2018-03-09,2018,3,March,9,Friday,68
130,2018-03-10,2018-03-10,2018,3,March,10,Saturday,69
131,2018-03-11,2018-03-11,2018,3,March,11,Sunday,70
132,2018-03-13,2018-03-13,2018,3,March,13,Tuesday,72
133,2018-03-14,2018-03-14,2018,3,March,14,Wednesday,73
134,2018-03-15,2018-03-15,2018,3,March,15,Thursday,74
135,2018-03-18,2018-03-18,2018,3,March,18,Sunday,77
136,2018-03-19,2018-03-19,2018,3,March,19,Monday,78
137,2018-03-20,2018-03-20,2018,3,March,20,Tuesday,79
138,2018-03-21,2018-03-21,2018,3,March,21,Wednesday,80
139,2018-03-24,2018-03-24,2018,3,March,24,Saturday,83
140,2018-03-25,2018-03-25,2018,3,March,25,Sunday,84
141,2018-03-26,2018-03-26,2018,3,March,26,Monday,85
142,2018-03-29,2018-03-29,2018,3,March,29,Thursday,88
143,2018-03-30,2018-03-30,2018,3,March,30,Friday,89
144,2018-03-31,2018-03-31,2018,3,March,31,Saturday,90
145,2018-04-02,2018-04-02,2018,4,April,2,Monday,92
146,2018-04-03,2018-04-03,2018,4,April,3,Tuesday,93
147,2018-04-04,2018-04-04,2018,4,April,4,Wednesday,94
148,2018-04-05,2018-04-05,2018,4,April,5,Thursday,95
149,2018-04-07,2018-04-07,2018,4,April,7,Saturday,97
150,2018-04-08,2018-04-08,2018,4,April,8,Sunday,98
151,2018-04-09,2018-04-09,2018,4,April,9,Monday,99
152,2018-04-10,2018-04-10,2018,4,April,10,Tuesday,100
153,2018-04-11,2018-04-11,2018,4,April,11,Wednesday,101
154,2018-04-12,2018-04-12,2018,4,April,12,Thursday,102
155,2018-04-13,2018-04-13,2018,4,April,13,Friday,103
156,2018-04-14,2018-04-14,2018,4,April,14,Saturday,104
157,2018-04-15,2018-04-15,2018,4,April,15,Sunday,105
158,2018-04-16,2018-04-16,2018,4,April,16,Monday,106
159,2018-04-17,2018-04-17,2018,4,April,17,Tuesday,107
160,2018-04-18,2018-04-18,2018,4,April,18,Wednesday,108
161,2018-04-19,2018-04-19,2018,4,April,19,Thursday,109
162,2018-04-20,2018-04-20,2018,4,April,20,Friday,110
163,2018-04-21,2018-04-21,2018,4,April,21,Saturday,111
164,2018-04-22,2018-04-22,2018,4,April,22,Sunday,112
165,2018-04-23,2018-04-23,2018,4,April,23,Monday,113
166,2018-04-24,2018-04-24,2018,4,April,24,Tuesday,114
167,2018-04-25,2018-04-25,2018,4,April,25,Wednesday,115
168,2018-04-26,2018-04-26,2018,4,April,26,Thursday,116
169,2018-04-27,2018-04-27,2018,4,April,27,Friday,117
170,2018-04-28,2018-04-28,2018,4,April,28,Saturday,118
171,2018-04-29,2018-04-29,2018,4,April,29,Sunday,119
172,2018-04-30,2018-04-30,2018,4,April,30,Monday,120
173,2018-05-02,2018-05-02,2018,5,May,2,Wednesday,122
174,2018-05-04,2018-05-04,2018,5,May,4,Friday,124
175,2018-05-05,2018-05-05,2018,5,May,5,Saturday,125
176,2018-05-07,2018-05-07,2018,5,May,7,Monday,127
177,2018-05-08,2018-05-08,2018,5,May,8,Tuesday,128
178,2018-05-09,2018-05-09,2018,5,May,9,Wednesday,129
179,2018-05-10,2018-05-10,2018,5,May,10,Thursday,130
180,2018-05-11,2018-05-11,2018,5,May,11,Friday,131
181,2018-05-12,2018-05-12,2018,5,May,12,Saturday,132
182,2018-05-13,2018-05-13,2018,5,May,13,Sunday,133
183,2018-05-14,2018-05-14,2018,5,May,14,Monday,134
184,2018-05-15,2018-05-15,2018,5,May,15,Tuesday,135
185,2018-05-16,2018-05-16,2018,5,May,16,Wednesday,136
186,2018-05-17,2018-05-17,2018,5,May,17,Thursday,137
187,2018-05-18,2018-05-18,2018,5,May,18,Friday,138
188,2018-05-19,2018-05-19,2018,5,May,19,Saturday,139
189,2018-05-20,2018-05-20,2018,5,May,20,Sunday,140
190,2018-05-21,2018-05-21,2018,5,May,21,Monday,141
191,2018-05-22,2018-05-22,2018,5,May,22,Tuesday,142
192,2018-05-23,2018-05-23,2018,5,May,23,Wednesday,143
193,2018-05-24,2018-05-24,2018,5,May,24,Thursday,144
194,2018-05-25,2018-05-25,2018,5,May,25,Friday,145
195,2018-05-26,2018-05-26,2018,5,May,26,Saturday,146
196,2018-05-27,2018-05-27,2018,5,May,27,Sunday,147
197,2018-05-29,2018-05-29,2018,5,May,29,Tuesday,149
198,2018-05-30,2018-05-30,2018,5,May,30,Wednesday,150
199,2018-05-31,2018-05-31,2018,5,May,31,Thursday,151
200,2018-06-01,2018-06-01,2018,6,June,1,Friday,152
201,2018-06-02,2018-06-02,2018,6,June,2,Saturday,153
202,2018-06-03,2018-06-03,2018,6,June,3,Sunday,154
203,2018-06-04,2018-06-04,2018,6,June,4,Monday,155
204,2018-06-05,2018-06-05,2018,6,June,5,Tuesday,156
205,2018-06-06,2018-06-06,2018,6,June,6,Wednesday,157
206,2018-06-07,2018-06-07,2018,6,June,7,Thursday,158
207,2018-06-08,2018-06-08,2018,6,June,8,Friday,159
208,2018-06-09,2018-06-09,2018,6,June,9,Saturday,160
209,2018-06-10,2018-06-10,2018,6,June,10,Sunday,161
210,2018-06-11,2018-06-11,2018,6,June,11,Monday,162
211,2018-06-12,2018-06-12,2018,6,June,12,Tuesday,163
212,2018-06-13,2018-06-13,2018,6,June,13,Wednesday,164
213,2018-06-14,2018-06-14,2018,6,June,14,Thursday,165
214,2018-06-15,2018-06-15,2018,6,June,15,Friday,166
215,2018-06-16,2018-06-16,2018,6,June,16,Saturday,167
216,2018-06-17,2018-06-17,2018,6,June,17,Sunday,168
217,2018-06-18,2018-06-18,2018,6,June,18,Monday,169
218,2018-06-19,2018-06-19,2018,6,June,19,Tuesday,170
219,2018-06-20,2018-06-20,2018,6,June,20,Wednesday,171
220,2018-06-21,2018-06-21,2018,6,June,21,Thursday,172
221,2018-06-22,2018-06-22,2018,6,June,22,Friday,173
222,2018-06-23,2018-06-23,2018,6,June,23,Saturday,174
223,2018-06-24,2018-06-24,2018,6,June,24,Sunday,175
224,2018-06-25,2018-06-25,2018,6,June,25,Monday,176
225,2018-06-26,2018-06-26,2018,6,June,26,Tuesday,177
226,2018-06-27,2018-06-27,2018,6,June,27,Wednesday,178
227,2018-06-28,2018-06-28,2018,6,June,28,Thursday,179
228,2018-06-29,2018-06-29,2018,6,June,29,Friday,180
229,2018-06-30,2018-06-30,2018,6,June,30,Saturday,181
230,2018-07-01,2018-07-01,2018,7,July,1,Sunday,182
231,2018-07-02,2018-07-02,2018,7,July,2,Monday,183
232,2018-07-03,2018-07-03,2018,7,July,3,Tuesday,184
233,2018-07-04,2018-07-04,2018,7,July,4,Wednesday,185
234,2018-07-05,2018-07-05,2018,7,July,5,Thursday,186
235,2018-07-06,2018-07-06,2018,7,July,6,Friday,187
236,2018-07-07,2018-07-07,2018,7,July,7,Saturday,188
237,2018-07-08,2018-07-08,2018,7,July,8,Sunday,189
238,2018-07-09,2018-07-09,2018,7,July,9,Monday,190
239,2018-07-10,2018-07-10,2018,7,July,10,Tuesday,191
240,2018-07-11,2018-07-11,2018,7,July,11,Wednesday,192
241,2018-07-12,2018-07-12,2018,7,July,12,Thursday,193
242,2018-07-13,2018-07-13,2018,7,July,13,Friday,194
